City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
350,manjacaze,80,MZ,1517977617,74,-24.71,33.88,74.1,7.96
351,tatarsk,76,RU,1517977617,75,55.22,75.96,3.36,5.39
352,san quintin,75,PH,1517972400,65,17.54,120.52,78.8,6.93
353,toamasina,20,MG,1517976000,94,-18.17,49.38,78.8,2.24
354,gat,92,SN,1517972400,31,14.69,-16.54,73.4,6.93
355,mitsamiouli,90,KM,1517976000,78,-11.38,43.28,80.6,4.7
356,port-gentil,88,GA,1517977190,98,-0.72,8.78,81.61,7.4
357,kawalu,64,ID,1517977196,82,-7.38,108.21,75.99,1.7
358,bluefield,90,US,1517976180,80,37.27,-81.22,42.8,10.29
359,bandarbeyla,0,SO,1517977619,100,9.49,50.81,73.65,20.71
360,dongsheng,76,CN,1517977261,59,29.72,112.52,45.66,4.5
361,sahuaripa,92,MX,1517977619,58,29.05,-109.23,58.98,1.92
362,saint george,40,GR,1517975400,87,39.45,22.34,46.4,2.37
363,cauquenes,0,CL,1517977620,90,-35.97,-72.32,55.6,4.94
364,bodden town,20,KY,1517972400,83,19.28,-81.25,78.8,11.41
365,trudovoye,75,KZ,1517976000,92,54.55,69.49,10.4,6.71
366,ixcatepec,36,MX,1517977621,84,21.24,-98.0,70.95,4.61
367,saint-augustin,20,FR,1517976000,100,44.83,-0.61,33.8,2.24
368,san policarpo,68,PH,1517977622,98,12.18,125.51,78.69,17.13
369,mujiayingzi,44,CN,1517977308,66,42.12,118.78,6.6,10.42
370,porto walter,12,BR,1517977623,94,-8.27,-72.74,75.31,2.04
371,cap malheureux,75,MU,1517976000,88,-19.98,57.61,78.8,3.36
372,colares,0,PT,1517976000,65,38.8,-9.45,41.0,10.29
373,ossora,92,RU,1517977624,90,59.24,163.07,24.28,13.78
374,ginir,0,ET,1517977624,68,7.14,40.71,41.88,1.14
375,saint-benoit,90,FR,1517976000,94,46.98,5.84,33.8,5.82
376,omachi,75,JP,1517974740,86,36.5,137.85,33.8,10.29
377,sao miguel do araguaia,64,BR,1517977224,97,-13.28,-50.16,70.72,6.96
378,erzin,0,TR,1517975400,100,36.95,36.2,44.6,4.16
379,west melbourne,1,US,1517975760,78,28.07,-80.65,71.6,9.17
380,papara,40,BR,1517976000,94,-3.98,-38.73,78.8,3.36
381,tecoanapa,5,MX,1517975280,83,16.99,-99.26,80.6,5.82
